Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
High,3,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,0,Coffee Shop,Café,Park,Restaurant,Diner,Farmers Market,Thai Restaurant,Japanese Restaurant,Pub,Athletics & Sports
High,3,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,0,Coffee Shop,Gastropub,Café,Restaurant,Japanese Restaurant,Cosmetics Shop,Italian Restaurant,Bookstore,Middle Eastern Restaurant,Burrito Place
High,3,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Coffee Shop,Café,Hotel,Bakery,Thai Restaurant,Plaza,Restaurant,Farmers Market,Seafood Restaurant,Park
Medium,2,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,0,Coffee Shop,Café,Park,Hotel,Plaza,Restaurant,Farmers Market,Gym,Thai Restaurant,Theater
High,3,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,0,Coffee Shop,Café,Park,Restaurant,Pizza Place,Ramen Restaurant,Thai Restaurant,Mexican Restaurant,Dance Studio,Theater
High,3,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675,0,Coffee Shop,Café,Park,Restaurant,Sandwich Place,Plaza,Art Gallery,Thai Restaurant,Pizza Place,Gym
Medium,2,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,0,Coffee Shop,Hotel,Café,Restaurant,Park,Theater,Gym,Brewery,Japanese Restaurant,Beer Bar
High,3,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764,0,Coffee Shop,Café,Restaurant,Plaza,Park,Yoga Studio,Art Gallery,Gym,Hotel,Thai Restaurant
High,3,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169,0,Coffee Shop,Café,Park,Restaurant,Plaza,Thai Restaurant,Hotel,Pizza Place,Art Gallery,Farmers Market
Low,1,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,0,Italian Restaurant,Coffee Shop,Sushi Restaurant,Bakery,Bagel Shop,Pizza Place,Café,Pub,Restaurant,Sandwich Place
Low,1,M5N,Central Toronto,Roselawn,43.7116948,-79.4169356,0,Coffee Shop,Italian Restaurant,Café,Bank,Pizza Place,Pharmacy,Sushi Restaurant,Skating Rink,Restaurant,Diner
Low,1,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.4113072,0,Coffee Shop,Italian Restaurant,Sushi Restaurant,Bank,Café,Middle Eastern Restaurant,Park,Japanese Restaurant,Pizza Place,Bagel Shop
Medium,2,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,0,Coffee Shop,Italian Restaurant,Grocery Store,Park,Café,Restaurant,Gourmet Shop,Bakery,Hotel,French Restaurant
Medium,2,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,0,Café,Vegetarian / Vegan Restaurant,Bakery,Bar,Coffee Shop,Mexican Restaurant,Grocery Store,Italian Restaurant,Arts & Crafts Store,Cocktail Bar
