Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M5N,Central Toronto,Roselawn,43.7116948,-79.4169356,2,Coffee Shop,Italian Restaurant,Sushi Restaurant,Pharmacy,Bank,Pizza Place,Café,Skating Rink,Restaurant,Liquor Store
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.4113072,0,Italian Restaurant,Coffee Shop,Bank,Sushi Restaurant,Café,Japanese Restaurant,Restaurant,Liquor Store,Middle Eastern Restaurant,Bagel Shop
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784,0,Coffee Shop,Italian Restaurant,Grocery Store,Park,Café,French Restaurant,Ice Cream Shop,Bakery,Gourmet Shop,Bookstore
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,0,Café,Vegetarian / Vegan Restaurant,Bakery,Mexican Restaurant,Beer Bar,Italian Restaurant,Coffee Shop,Bar,Grocery Store,Arts & Crafts Store
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,0,Café,Bar,Pizza Place,Sandwich Place,Coffee Shop,Vegetarian / Vegan Restaurant,Yoga Studio,Park,Cocktail Bar,Taco Place
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,0,Park,Café,Coffee Shop,Gym,Harbor / Marina,Pizza Place,Restaurant,Scenic Lookout,Boat or Ferry,Track
M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.374846,0,Coffee Shop,Café,Hotel,Park,Farmers Market,Seafood Restaurant,Restaurant,Theater,Plaza,Bakery
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,0,Café,Coffee Shop,Park,Restaurant,Pizza Place,Plaza,Hotel,Art Gallery,Sandwich Place,Thai Restaurant
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,2,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Sandwich Place,Grocery Store,Furniture / Home Store,Dessert Shop,Vietnamese Restaurant,Sushi Restaurant
M6B,North York,Glencairn,43.709577,-79.4450726,2,Coffee Shop,Grocery Store,Bank,Fast Food Restaurant,Restaurant,Fried Chicken Joint,Sandwich Place,Park,Caribbean Restaurant,Gas Station
M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914,2,Coffee Shop,Italian Restaurant,Grocery Store,Bank,Pizza Place,Café,Caribbean Restaurant,Sandwich Place,Indian Restaurant,Sushi Restaurant
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0,Italian Restaurant,Café,Furniture / Home Store,Coffee Shop,Pizza Place,Bakery,Caribbean Restaurant,Beer Store,Park,Sushi Restaurant
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,0,Café,Coffee Shop,Italian Restaurant,Park,Grocery Store,Bar,Ice Cream Shop,Indian Restaurant,Bakery,Cocktail Bar
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,0,Café,Italian Restaurant,Coffee Shop,Bar,Bakery,Park,Sushi Restaurant,Mexican Restaurant,Grocery Store,Portuguese Restaurant
M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,0,Café,Bakery,Coffee Shop,Italian Restaurant,Restaurant,Cocktail Bar,Vegetarian / Vegan Restaurant,Bar,Asian Restaurant,Art Gallery
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,0,Restaurant,Café,Coffee Shop,Bar,Bakery,Furniture / Home Store,Gift Shop,Asian Restaurant,Cocktail Bar,Seafood Restaurant
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738,2,Fast Food Restaurant,Coffee Shop,Gas Station,Supermarket,Vietnamese Restaurant,Pizza Place,Breakfast Spot,Athletics & Sports,Big Box Store,Mediterranean Restaurant
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,2,Coffee Shop,Furniture / Home Store,Sandwich Place,Intersection,Bakery,Discount Store,Fast Food Restaurant,Gas Station,Grocery Store,BBQ Joint
M6N,Toronto/York,"Runnymede, The Junction, Weston-Pellam Park, Carlton Village",43.6731853,-79.4872619,2,Coffee Shop,Beer Store,Sandwich Place,Brewery,Grocery Store,Pizza Place,Gas Station,Park,Breakfast Spot,Burger Joint
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,0,Coffee Shop,Café,Bar,Thai Restaurant,Breakfast Spot,Italian Restaurant,Grocery Store,Bakery,Restaurant,Arts & Crafts Store
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,0,Coffee Shop,Park,Café,Bar,Bakery,Sushi Restaurant,Eastern European Restaurant,Restaurant,Breakfast Spot,Ice Cream Shop
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,0,Park,Coffee Shop,Bakery,Pizza Place,Italian Restaurant,Café,Pub,River,Sushi Restaurant,Indie Movie Theater
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,0,Coffee Shop,Café,Japanese Restaurant,Park,Bookstore,Ramen Restaurant,Italian Restaurant,Gastropub,Gourmet Shop,Pizza Place
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819,2,Coffee Shop,Hotel,Greek Restaurant,Middle Eastern Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Asian Restaurant,Fried Chicken Joint,Caribbean Restaurant
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,0,Brewery,Coffee Shop,Park,Italian Restaurant,Pizza Place,Bakery,Diner,Grocery Store,Indian Restaurant,Sushi Restaurant
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207,0,Park,Grocery Store,Mexican Restaurant,Café,American Restaurant,Bakery,Indian Restaurant,Bank,Liquor Store,General Entertainment
M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841,2,Park,Coffee Shop,Grocery Store,Light Rail Station,Bank,Pizza Place,Burger Joint,Discount Store,Café,Moroccan Restaurant
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436,0,Park,Coffee Shop,Italian Restaurant,Pub,Grocery Store,Bank,Burger Joint,Breakfast Spot,Sushi Restaurant,Restaurant
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091,2,Italian Restaurant,Coffee Shop,Bank,Sandwich Place,Pizza Place,Sushi Restaurant,Restaurant,Park,Thai Restaurant,Harbor / Marina
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994,2,Restaurant,Coffee Shop,Gym / Fitness Center,Sushi Restaurant,Bank,Brewery,Bakery,Grocery Store,Burrito Place,Sporting Goods Shop
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.5322424,2,Pharmacy,Bank,Ice Cream Shop,Bus Line,Grocery Store,Shopping Mall,Liquor Store,Golf Course,Café,Bakery
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,2,Hotel,Park,Transportation Service,Farmers Market,Theater,Restaurant,Sandwich Place,Coffee Shop,Fish & Chips Shop,Skating Rink
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008,2,Baseball Field,Coffee Shop,Bank,Grocery Store,Pizza Place,Gym,Fast Food Restaurant,Theater,Farmers Market,Sandwich Place
M9L,North York,Humber Summit,43.7563033,-79.5659633,0,Park,Electronics Store,Asian Restaurant,Pharmacy,Bakery,Shopping Mall,Skating Rink,Vietnamese Restaurant,Italian Restaurant,Coffee Shop
M9M,North York,"Humberlea, Emery",43.7247659,-79.5322424,2,Coffee Shop,Golf Course,Convenience Store,Grocery Store,Liquor Store,Sandwich Place,Park,Beer Store,Nightclub,Gas Station
M9N,York,Weston,43.706876,-79.5181884,2,Grocery Store,Sandwich Place,Fast Food Restaurant,Vietnamese Restaurant,Gas Station,Train Station,Pharmacy,Pizza Place,Discount Store,Diner
M9P,Etobicoke,Westmount,43.696319,-79.5322424,2,Pizza Place,Bank,Restaurant,Café,Coffee Shop,Grocery Store,Gym,Sandwich Place,Bakery,Baseball Field
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244,2,Coffee Shop,Pizza Place,Sandwich Place,Pharmacy,Liquor Store,Shopping Mall,Bank,American Restaurant,Sporting Goods Shop,Beer Store
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,2,Coffee Shop,Fast Food Restaurant,Pizza Place,Grocery Store,Sandwich Place,Greek Restaurant,Clothing Store,Park,Pakistani Restaurant,Indian Restaurant
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7067483,-79.5940544,2,Coffee Shop,Hotel,Pizza Place,Gas Station,Hardware Store,Restaurant,Sandwich Place,Drugstore,Department Store,American Restaurant
